type,title,tmdb_id,tmdb_title,tmdb_year,exact,sources,lists,first_watched,last_watched
movie,MARTY SUPREME,1317288,Marty Supreme,2025,yes,prime,watched,2026-05-19,2026-05-19
show,STEEL BALL RUN JoJo's Bizarre Adventure: 1st STAGE,45790,JoJo's Bizarre Adventure,2012,no,netflix,watched,2026-03-19,2026-03-19
show,Bridgerton,91239,Bridgerton,2020,yes,netflix,watched,2026-03-15,2026-03-15
show,Reality Check: Inside America's Next...,312423,Reality Check: Inside America's Next Top Model,2026,no,netflix,watched,2026-03-15,2026-03-15
show,All Her Fault,246386,All Her Fault,2025,yes,prime,watched,2026-03-06,2026-03-06
show,Steal,254071,Steal,2026,yes,prime,watched,2026-03-06,2026-03-06
show,Hey Duggee,74280,Hey Duggee,2014,yes,prime,watched,2025-12-11,2025-12-11
show,Physical: Asia,293613,Physical: Asia,2025,yes,netflix,watched,2025-11-20,2025-11-20
movie,Unknown Number: The High School Catfish,1517772,Unknown Number: The High School Catfish,2025,yes,netflix,watched,2025-11-13,2025-11-13
show,Wayward,255859,Wayward,2025,yes,netflix,watched,2025-10-30,2025-10-30
show,Too Much,241361,Too Much,2025,yes,netflix,watched,2025-10-18,2025-10-18
show,Queer Eye,76922,Queer Eye,2018,yes,netflix,watched,2025-10-16,2025-10-16
show,Black Mirror,42009,Black Mirror,2011,yes,netflix,watched,2025-10-12,2025-10-12
show,Final Draft,257929,Final Draft,2022,yes,netflix,watched,2025-10-06,2025-10-06
show,The Summer I Turned Pretty,194766,The Summer I Turned Pretty,2022,yes,prime,watched,2025-09-28,2025-09-28
show,The Girlfriend,253376,The Girlfriend,2025,yes,prime,watched,2025-09-27,2025-09-27
show,The Hunting Wives,244447,The Hunting Wives,2025,yes,netflix,watched,2025-09-12,2025-09-12
show,The Four Seasons,243316,The Four Seasons,2025,yes,netflix,watched,2025-09-05,2025-09-05
show,Fit for TV: The Reality of the Biggest...,296549,Fit for TV: The Reality of the Biggest Loser,2025,no,netflix,watched,2025-09-04,2025-09-04
movie,The Thursday Murder Club,744653,The Thursday Murder Club,2025,yes,netflix,watched,2025-09-04,2025-09-04
show,Squid Game,93405,Squid Game,2021,yes,netflix,watched,2025-07-11,2025-07-11
movie,Trainwreck: Poop Cruise,1484253,Trainwreck: Poop Cruise,2025,yes,netflix,watched,2025-07-10,2025-07-10
movie,Mrs. Chatterjee vs Norway,986594,Mrs. Chatterjee Vs Norway,2023,yes,netflix,watched,2025-07-05,2025-07-05
show,The Ultimatum: Marry or Move On,169588,The Ultimatum: Marry or Move On,2022,yes,netflix,watched,2025-07-03,2025-07-03
show,The Ultimatum: Queer Love,224710,The Ultimatum: Queer Love,2023,yes,netflix,watched,2025-07-03,2025-07-03
show,Too Hot to Handle: Spain,292225,Too Hot to Handle: Spain,2025,yes,netflix,watched,2025-07-03,2025-07-03
show,Workin' Moms,69555,Workin' Moms,2017,yes,netflix,watched,2025-06-27,2025-06-27
show,Carlos Alcaraz: My Way,280885,Carlos Alcaraz: My Way,2025,yes,netflix,watched,2025-06-16,2025-06-16
show,You,78191,You,2018,yes,netflix,watched,2025-06-16,2025-06-16
show,Sirens,246992,Sirens,2025,yes,netflix,watched,2025-06-14,2025-06-14
show,Million Dollar Secret,285205,Million Dollar Secret,2025,yes,netflix,watched,2025-05-16,2025-05-16
show,The Real Housewives of Beverly Hills,32390,The Real Housewives of Beverly Hills,2010,yes,netflix,watched,2025-05-16,2025-05-16
show,Apple Cider Vinegar,241501,Apple Cider Vinegar,2025,yes,netflix,watched,2025-05-14,2025-05-14
show,Bad Influence: The Dark Side of...,286338,Bad Influence: The Dark Side of Kidfluencing,2025,no,netflix,watched,2025-05-07,2025-05-07
show,Contra Reloj (ES),28287,Contra reloj,2001,yes,prime,watched,2025-05-04,2025-05-04
show,Lorena,85712,Lorena,2019,yes,prime,watched,2025-05-03,2025-05-03
show,The Crown,65494,The Crown,2016,yes,netflix,watched,2025-04-29,2025-04-29
show,Running Point,244623,Running Point,2025,yes,netflix,watched,2025-04-15,2025-04-15
show,Dulceida al desnudo 2+1,213840,Dulceida: a new beginning,2022,no,prime,watched,2025-04-12,2025-04-12
show,Yellowstone,73586,Yellowstone,2018,yes,netflix;prime,watched;watchlist,2025-04-12,2025-04-12
show,Alpha Males,215092,Alpha Males,2022,yes,netflix,watched,2025-03-28,2025-03-28
show,Senna,211039,Senna,2024,yes,netflix,watched,2025-02-11,2025-02-11
movie,Bridget Jones's Baby,95610,Bridget Jones's Baby,2016,yes,netflix,watched,2025-02-08,2025-02-08
movie,Kinda Pregnant,1212142,Kinda Pregnant,2025,yes,netflix,watched,2025-02-08,2025-02-08
movie,Whiplash,244786,Whiplash,2014,yes,netflix,watched,2025-02-02,2025-02-02
show,Waco: American Apocalypse,220229,Waco: American Apocalypse,2023,yes,netflix,watched,2025-01-16,2025-01-16
movie,Challengers,937287,Challengers,2024,yes,prime,watched,2025-01-09,2025-01-09
show,Black Doves,225385,Black Doves,2024,yes,netflix,watched,2025-01-05,2025-01-05
movie,The Six Triple Eight,1061699,The Six Triple Eight,2024,yes,netflix,watched,2025-01-05,2025-01-05
show,Ted Bundy: Falling For a Killer,97428,Ted Bundy: Falling for a Killer,2020,yes,prime,watched,2024-12-23,2024-12-23
show,Shiny Happy People: Duggar Family Secrets,226751,Shiny Happy People,2023,no,prime,watched,2024-12-20,2024-12-20
show,Emily in Paris,82596,Emily in Paris,2020,yes,netflix,watched,2024-12-17,2024-12-17
movie,Biggest Heist Ever,1391409,Biggest Heist Ever,2024,yes,netflix,watched,2024-12-13,2024-12-13
show,Cold Case: Who Killed JonBenét Ramsey,274820,Cold Case: Who Killed JonBenét Ramsey,2024,yes,netflix,watched,2024-12-13,2024-12-13
show,No Good Deed,241112,No Good Deed,2024,yes,netflix,watched,2024-12-13,2024-12-13
show,Six Feet Under,1274,Six Feet Under,2001,yes,netflix,watched,2024-12-10,2024-12-10
movie,What Jennifer Did,1261924,What Jennifer Did,2024,yes,netflix,watched,2024-12-05,2024-12-05
movie,Buy Now: The Shopping Conspiracy,1376704,Buy Now! The Shopping Conspiracy,2024,yes,netflix,watched,2024-11-25,2024-11-25
show,Crims,117180,Crims,2020,yes,netflix,watched,2024-11-24,2024-11-24
show,American Murder: Laci Peterson,261034,American Murder: Laci Peterson,2024,yes,netflix,watched,2024-11-21,2024-11-21
